,Month,Algonquin,Appalachia,Chicago,NBPL,Opal,Socal,TGP,Transco Z5,Waha,Henry,LNG,AECO,Mexico,Gas_Month
0,Jan-01,83.92,310.998,550.58,196.649,157.916,322.336,138.167,212.699,157.521,525.07,0,276,8.1,Jul-00
1,Feb-01,76.819,269.343,467.623,170.472,151.239,294.362,98.398,165.495,137.2377,457.459,0,240.6,8,Aug-00
2,Mar-01,77.046,264.568,441.012,149.266,135.07,273.952,94.735,165.432,144.033,480.11,0,263.3,7.1,Sep-00
3,Apr-01,57.932,190.726,267.664,100.117,115.249,254.965,81.459,133.078,137.4774,458.258,0,234.9,5.3,Oct-00
4,May-01,47.774,140.702,181.361,63.781,94.856,232.132,64.901,112.596,133.251,444.17,0,235.1,9.9,Nov-00
5,Jun-01,42.419,135.686,158.271,57.166,80.155,216.908,62.307,116.08,132.5049,441.683,0,230.6,11.2,Dec-00
6,Jul-01,43.164,138.339,164.284,70.368,79.52,229.331,75.868,133.312,156.9807,523.269,0,266.6,15.1,Jan-01
7,Aug-01,49.915,157.691,169.745,69.463,78.728,247.119,78.314,144.912,159.1371,530.457,0,263.7,15.7,Feb-01
8,Sep-01,51.9,143.19,157.554,59.185,71.802,225.381,71.749,132.484,133.6026,445.342,0,232.2,17.8,Mar-01
9,Oct-01,54.54,160.596,234.972,72.643,81.051,235.978,81.437,145.1,131.5941,438.647,0,248.2,15.9,Apr-01
10,Nov-01,56.115,174.751,271.933,91.057,93.879,235.393,83.582,141.92,123.0168,410.056,0,221.6,15.5,May-01
11,Dec-01,68.561,235.174,387.986,131.491,133.08,287.007,100.553,169.031,134.7048,449.016,0,227.2,10.8,Jun-01
12,Jan-02,87.98,284.181,473.09,168.553,143.337,291.214,129.04,215.355,156.1272,520.424,0,269.7,12.6,Jul-01
13,Feb-02,82.649,266.109,429.674,146.405,135.224,246.366,117.79,187.533,142.0944,473.648,0,242.1,10.8,Aug-01
14,Mar-02,78.652,252.535,428.094,152.832,130.213,266.027,111.488,182.983,146.73,489.1,0,263.3,18.2,Sep-01
15,Apr-02,62.767,197.21,327.716,106.151,91.937,208.451,86.574,152.897,149.2638,497.546,0,245.7,19.1,Oct-01
16,May-02,59.226,152.23,234.13,75.861,78.495,194.854,73.072,140.848,137.6925,458.975,0,242.5,22.8,Nov-01
17,Jun-02,53.509,142.989,186.802,60.89,76.71,197.948,79.777,147.858,151.5291,505.097,0,243.7,25,Dec-01
18,Jul-02,52.112,158.009,200.491,71.057,89.088,225.157,89.495,170.27,163.4253,544.751,0,270.2,27.6,Jan-02
19,Aug-02,58.182,161.376,183.608,69.224,81.238,223.039,83.027,173.137,164.0448,546.816,0,281.1,28.9,Feb-02
20,Sep-02,53.036,139.688,164.609,63.251,81.458,213.311,73.505,149.47,140.3529,467.843,0,273.8,27.5,Mar-02
21,Oct-02,56.931,152.859,241.151,81.481,100.715,217.31,70.467,154.131,128.5293,428.431,0,274.7,26.3,Apr-02
22,Nov-02,69.964,217.698,348.12,121.858,113.55,218.219,82.677,168.378,126.2442,420.814,0,267.9,21.3,May-02
23,Dec-02,90.047,293.399,472.756,153.617,135.429,266.248,114.967,215.135,139.758,465.86,0,303.4,23.1,Jun-02
